"Неугомонные. Чудесную новость на лопате принесли под праздники: Великобритания презентовала создание военно-морского Альянса против России. Об этом набуровил три бочки арестантов начальник Королевских ВМС, адмирал Гвин Дженкинс, сообщивший: ныне существующие Объединённые Экспедиционные Силы (The Joint Expeditionary Force, JEF) будут преобразованы «в более интегрированное Партнёрство Северных Флотов».";1
"А к имеющимся в JEF скоттам, голландцам, скандинавам, финнам и прибалтам добавится Канада. И новая могучая кучка станет боронить от злокозненного Русского Мордора в эльфийскую Северо-Западную Европу, Северную Атлантику, Крайний Север. Соответствующее Заявление о Намерениях якобы уже подписано всеми командующими ВМС, они теперь разрабатывают подробные предложения о новом военно-морском Партнёрстве Флотов.";1
"На недоумённые вопросы «а как же НАТО», скоттский адмирал призвал добрых людей не волноваться, поскольку «новая структура будет тесно связана с Альянсом, она его дополнит и не станет дублировать». А сама суть образования под командованием островитянки — это более глубокая интеграция балтийских и прочих европейских северян «для более надёжного сдерживания России на открытой морской границе», конец цитаты.";1
"Как водится, риторические вопросы. В 2014-м, после известных крымских событий, были образованы те самые экспедиционные JEF быстрого реагирования из Великобритании, Нидерландов, Дании, Финляндии, Исландии, Норвегии, Швеции, шпротных архиепископств. Поляки, кстати, наотрез отказались. Штабная структура окопалась в Нортвуде (Истбери, Хартфордшир, пригород Большого Лондона), где находится штаб-квартира командования военно-морских натовских Сил. Там и потерялась полностью, до лета 2018-го лишь «согласовывала оперативное взаимодействие».";1
"Четыре года. Решив, что будет «действовать самостоятельно, в поддержку НАТО или других совместных инициатив типа миротворческих сил ООН». Если быть точным, то JEF заменили благополучно подохшие на финансовой бескормице Объединённые Силы быстрого реагирования (JRRF) островитян, не потянувших содержание сводного Отряд Специализированных Подразделений трёх видов войск. Для развёртывания Экспедиционных Сил по облику американских. В течение 72-x часов в любой точке планеты.";1
"Что можно сказать о «Нортвудском НАТО», существующем с 2014-го года и теперь преобразуемом в Партнёрство Северных Флотов? Ничего. Вообще. Провели семь Саммитов, причём первый пришёлся... аж на 2022-й год, до той поры о JEF слыхом не слыхивали даже искушённые военно-морские аналитики. Учений и слаживаний не проводилось, а что якобы были — исключительно в рамках малых флотилий и групп морских спецназов трёх-четырёх государств JEF на ежегодных упражнениях НАТО с 2017-го. Доктринальных документов не публиковалось, даже фамилии «командующих» JEF под тиной скрывались, настолько секретен тот могучий Альянс был. Без бюджета, кстати.";1
"То есть, имеем полностью интегрированную в структуру Альянса «бумажную институцию» без всякой самостоятельности, но с организационно-штабной структурой в Лондоне. Спящей. Но регулярно вывешивающей флаг Объединённых Экспедиционных Сил на всех балтийских учениях Альянса против Калининграда, хотя отдельных задач им не нарезают.";1
"Ибо американцы в глаза не видели в полном сборе то 10-титысячное воинство Нортвудского НАТО даже на командно-штабных играх. Если рассуждать с точки зрения военной науки, то янки старательно и демонстративно отделяют JEF от Объединённого военно-морского Командования (MARCOM) всех военно-морских сил Альянса. В переводе, от частной инициативы островитян. впихнувших свой новый штаб именно в натовский Нортвуд, явно желая на чужом горбу кататься и строить свои планы под прикрытием.";1
"Теперь вот Канаду подтягивают (враждебную США) и внимание... намерены осенью 2026-го провести учения «северного фланга» (теперь Партнёрство Флотов) с водоплавающими куренными казачками. С дирекцией на Русскую Арктику, если верить помойной скоттской прессе. Где могут соприкасаться причерноморская гетманщина и оперативная зона «Североморск»... никто толком не понимает из военных экспертов, но факт остаётся фактом.";1
"Вполне объяснимым и даже логичным. Вопрос дозрел, как говорится. Речь о британо-норвежской Коалиции «поддержки Украины на море». С 2023-го года занятой созданием ВМС гетманщины за пределами одичавшей территории и Чёрного моря. Там уже много чего любопытного наблюдается. Начиная с двух противоминных тральщиков типа «Sandown» (ныне M310 «Чернигов» и M311 «Черкассы»), подаренных с королевского военно-морского плеча из состава Флота, заканчивая неустановленным числом малых ракетно-артиллерийских катеров «москитного флота», способных действовать на мелководье.";1
